Case: My Case


,Input - General

,,Input,Value
,,Application Type,New Construction
,,Analysis Mode,Design
,,Reference Building,My Design


,Input - Geometry Screen

,,Input,Value,Units
,,Finished Floor Area,3000,sqft
,,Bedrooms,1
,,Bathrooms,2
,,Occupants,10


,Input - Options Screen

,,Group Name,Category Name,Option Name,My Design,
,,,,,Selected,
,,Building
,,,Orientation
,,,,North,,
,,,,NNE,,
,,,,Northeast,,
,,,,ENE,,
,,,,East,,
,,,,ESE,,
,,,,Southeast,,
,,,,SSE,,
,,,,South,,
,,,,SSW,,
,,,,Southwest,,
,,,,WSW,,
,,,,West,x,
,,,,WNW,,
,,,,Northwest,,
,,,,NNW,,
,,,Neighbors
,,,,None,x,
,,,,Left/Right at 20ft,,
,,,,Left/Right at 15ft,,
,,,,Left/Right at 10ft,,
,,,,"Left/Right at 15ft, Front/Back at 80ft",,
,,,,"Left, at 15ft",,
,,,,"Right, at 15ft",,
,,,,"Front, at 15ft",,
,,,,"Back, at 15ft",,
,,Walls
,,,Wood Stud
,,,,None,,
,,,,"Uninsulated, 2x4, 16 in o.c.",x,
,,,,"Uninsulated, 2x6, 24 in o.c.",,
,,,,"R-7 Fiberglass Batt, 2x4, 16 in o.c.",,
,,,,"R-11 Fiberglass Batt, 2x4, 16 in o.c.",,
,,,,"R-13 Fiberglass Batt, 2x4, 16 in o.c.",,
,,,,"R-15 Fiberglass Batt, 2x4, 16 in o.c.",,
,,,,"R-19 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,"R-21 Fiberglass Batt, 2x6, 24 in o.c.",,
,,,,"R-13 Cellulose, 2x4, 16 in o.c.",,
,,,,"R-13 Cellulose, 2x4, 16 in o.c., Grade 2",,
,,,,"R-13 Cellulose, 2x4, 16 in o.c., Grade 3",,
,,,,"R-19 Cellulose, 2x6, 24 in o.c.",,
,,,,"R-13 Fiberglass, 2x4, 16 in o.c.",,
,,,,"R-19 Fiberglass, 2x6, 24 in o.c.",,
,,,,"R-23 Closed Cell Spray Foam, 2x4, 16 in o.c.",,
,,,,"R-36 Closed Cell Spray Foam, 2x6, 24 in o.c.",,
,,,,"R-13 Open Cell Spray Foam, 2x4, 16 in o.c.",,
,,,,"R-20 Open Cell Spray Foam, 2x6, 24 in o.c.",,
,,,Double Wood Stud
,,,,None,x,
,,,,"R-33 Fiberglass Batt, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-33 Fiberglass Batt, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-39 Fiberglass Batt, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-39 Fiberglass Batt, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-45 Fiberglass Batt, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-45 Fiberglass Batt, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-33 Cellulose, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-33 Cellulose, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-39 Cellulose, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-39 Cellulose, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-45 Cellulose, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-45 Cellulose, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-33 Fiberglass, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-33 Fiberglass, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-39 Fiberglass, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-39 Fiberglass, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,,"R-45 Fiberglass, Gr-1, 2x4 Centered, 24 in o.c.",,
,,,,"R-45 Fiberglass, Gr-1, 2x4 Staggered, 24 in o.c.",,
,,,Steel Stud
,,,,None,x,
,,,,"Uninsulated, 2x4, 16 in o.c.",,
,,,,"Uninsulated, 2x6, 24 in o.c.",,
,,,,"R-11 Fiberglass Batt, 2x4, 16 in o.c.",,
